age,reels_watch_time_hours,daily_screen_time_hours,scrolling_sessions_day,notifications_per_day,sleep_hours,physical_activity_hours_week,attention_span_score,focus_level,task_completion_rate,screen_time_severity,wellness_score,productivity_index,high_screen_time_flag,poor_sleep_flag,reels_to_screen_ratio,stress_level_encoded,gender_Female,gender_Male,gender_Non-Binary,gender_Other,location_Rural,location_Suburban,location_Urban,platform_Instagram Reels,platform_TikTok,platform_YouTube Shorts,age_norm,reels_watch_time_hours_norm,daily_screen_time_hours_norm,scrolling_sessions_day_norm,notifications_per_day_norm,sleep_hours_norm,physical_activity_hours_week_norm,attention_span_score_norm,focus_level_norm,task_completion_rate_norm
31,2.18,6.72,6,13,7.84,3.7,9.51,6.73,42.9,0.3485,0.6768,0.7458,0,0,0.3244,1,0,0,1,0,0,1,0,0,0,1,0.5517,0.271,0.3371,0.2632,0.1548,0.6194,0.4091,0.9154,0.6476,0.497
24,4.64,7.58,10,36,5.95,6.2,7.14,5.41,34.9,0.5459,0.626,0.5835,0,1,0.6121,3,0,0,1,0,0,0,1,1,0,0,0.3103,0.6256,0.3986,0.4737,0.4286,0.2668,0.6932,0.5065,0.4884,0.3761
17,6.5,14.88,19,84,6.51,2.8,5.22,1.89,13.8,0.9212,0.3407,0.3056,1,0,0.4368,3,1,0,0,0,0,0,1,0,1,0,0.069,0.8937,0.92,0.9474,1.0,0.3713,0.3068,0.1752,0.0638,0.0574
19,2.67,5.17,6,8,7.75,5.0,8.02,5.56,49.9,0.3368,0.7426,0.6788,0,0,0.5164,1,1,0,0,0,0,0,1,0,0,1,0.1379,0.3416,0.2264,0.2632,0.0952,0.6026,0.5568,0.6583,0.5065,0.6027
22,1.76,5.56,4,28,7.31,4.4,8.65,7.71,38.2,0.2763,0.632,0.7327,0,0,0.3165,1,1,0,0,0,0,1,0,0,0,1,0.2414,0.2105,0.2543,0.1579,0.3333,0.5205,0.4886,0.767,0.7658,0.426
29,3.48,9.47,10,46,8.43,3.6,9.6,7.12,58.6,0.5291,0.5759,0.8249,1,0,0.3675,1,1,0,0,0,0,0,1,0,0,1,0.4828,0.4584,0.5336,0.4737,0.5476,0.7295,0.3977,0.931,0.6947,0.7341
35,2.51,8.96,5,17,8.84,4.5,8.83,7.06,44.2,0.4127,0.7294,0.7391,1,0,0.2801,1,1,0,0,0,0,0,1,1,0,0,0.6897,0.3186,0.4971,0.2105,0.2024,0.806,0.5,0.7981,0.6874,0.5166
40,3.0,7.96,8,46,7.06,5.3,8.01,5.08,46.5,0.4448,0.5942,0.6476,0,0,0.3769,3,1,0,0,0,0,0,1,1,0,0,0.8621,0.3892,0.4257,0.3684,0.5476,0.4739,0.5909,0.6566,0.4486,0.5514
26,2.97,6.33,11,49,7.17,4.5,9.9,9.31,53.5,0.4324,0.556,0.8948,0,0,0.4692,2,1,0,0,0,0,1,0,1,0,0,0.3793,0.3849,0.3093,0.5263,0.5833,0.4944,0.5,0.9827,0.9588,0.6571
18,5.57,11.51,17,63,6.18,1.6,6.2,3.8,32.4,0.7656,0.3568,0.4824,1,0,0.4839,3,1,0,0,0,0,0,1,1,0,0,0.1034,0.7596,0.6793,0.8421,0.75,0.3097,0.1705,0.3443,0.2942,0.3384
19,4.18,9.91,11,58,6.41,5.2,7.51,4.82,34.5,0.5888,0.5244,0.5735,1,0,0.4218,3,0,1,0,0,0,0,1,0,1,0,0.1379,0.5593,0.565,0.5263,0.6905,0.3526,0.5795,0.5703,0.4172,0.3701
34,3.53,8.59,13,52,5.83,2.7,7.82,4.96,34.8,0.5398,0.427,0.5906,1,1,0.4109,3,0,1,0,0,0,0,1,1,0,0,0.6552,0.4656,0.4707,0.6316,0.619,0.2444,0.2955,0.6238,0.4341,0.3746
34,3.68,11.12,8,22,7.58,2.1,7.07,5.15,39.8,0.5614,0.5725,0.5909,1,0,0.3309,2,1,0,0,0,0,0,1,0,1,0,0.6552,0.4872,0.6514,0.3684,0.2619,0.5709,0.2273,0.4944,0.457,0.4502
33,0.3,4.98,4,4,8.84,4.5,9.93,8.35,70.1,0.1811,0.7758,0.9263,0,0,0.0602,1,1,0,0,0,0,0,1,0,0,1,0.6207,0.0,0.2129,0.1579,0.0476,0.806,0.5,0.9879,0.843,0.9079
16,2.92,7.82,10,32,6.63,5.4,8.07,5.78,40.5,0.4569,0.6329,0.6515,0,0,0.3734,2,1,0,0,0,0,1,0,1,0,0,0.0345,0.3777,0.4157,0.4737,0.381,0.3937,0.6023,0.667,0.533,0.4607
19,3.64,6.77,8,34,7.93,5.3,7.88,5.49,32.5,0.4504,0.6679,0.6028,0,0,0.5377,1,1,0,0,0,0,0,1,0,1,0,0.1379,0.4814,0.3407,0.3684,0.4048,0.6362,0.5909,0.6342,0.498,0.3399
15,4.34,10.92,13,56,5.54,4.6,7.8,4.7,30.8,0.6429,0.4772,0.5647,1,1,0.3974,3,0,1,0,0,1,0,0,0,0,1,0.0,0.5823,0.6371,0.6316,0.6667,0.1903,0.5114,0.6204,0.4027,0.3142
25,2.23,5.37,8,28,7.93,7.8,9.5,6.82,50.5,0.3375,0.7877,0.7786,0,0,0.4153,2,1,0,0,0,0,0,1,1,0,0,0.3448,0.2782,0.2407,0.3684,0.3333,0.6362,0.875,0.9137,0.6585,0.6118
29,4.37,9.99,13,42,6.14,3.5,7.58,6.33,35.1,0.6213,0.5052,0.633,1,0,0.4374,3,0,1,0,0,0,1,0,1,0,0,0.4828,0.5867,0.5707,0.6316,0.5,0.3022,0.3864,0.5824,0.5994,0.3792
18,4.5,11.35,11,33,6.58,7.3,6.47,1.86,10.0,0.6425,0.7023,0.3333,1,0,0.3965,2,1,0,0,0,0,1,0,0,1,0,0.1034,0.6054,0.6679,0.5263,0.3929,0.3843,0.8182,0.3909,0.0602,0.0
43,0.96,2.49,3,22,8.0,6.6,7.05,5.87,52.8,0.1453,0.7644,0.6675,0,0,0.3855,1,0,1,0,0,0,0,1,0,0,1,0.9655,0.0951,0.035,0.1053,0.2619,0.6493,0.7386,0.4909,0.5439,0.6465
28,2.84,8.48,5,29,8.17,5.2,8.42,6.11,46.6,0.419,0.6903,0.6997,1,0,0.3349,1,1,0,0,0,0,0,1,0,0,1,0.4483,0.3661,0.4629,0.2105,0.3452,0.681,0.5795,0.7274,0.5728,0.5529
15,4.63,11.29,13,49,6.18,2.9,7.04,5.42,31.9,0.6681,0.458,0.5685,1,0,0.4101,2,1,0,0,0,0,0,1,0,1,0,0.0,0.6241,0.6636,0.6316,0.5833,0.3097,0.3182,0.4892,0.4896,0.3308
29,2.47,6.84,5,19,8.43,4.1,8.54,5.63,39.7,0.3575,0.692,0.6594,0,0,0.3611,1,0,1,0,0,0,1,0,0,0,1,0.4828,0.3128,0.3457,0.2105,0.2262,0.7295,0.4545,0.7481,0.5149,0.4486
31,0.88,4.58,1,0,7.5,5.9,9.64,7.2,58.3,0.1731,0.7977,0.828,0,0,0.1921,1,0,1,0,0,0,0,1,1,0,0,0.5517,0.0836,0.1843,0.0,0.0,0.556,0.6591,0.9379,0.7043,0.7296
36,0.96,2.0,4,16,7.62,6.8,8.69,5.23,55.0,0.1431,0.7802,0.7103,0,0,0.48,1,1,0,0,0,0,0,1,0,0,1,0.7241,0.0951,0.0,0.1579,0.1905,0.5784,0.7614,0.7739,0.4667,0.6798
33,3.16,8.79,10,44,8.11,5.6,9.37,7.15,47.9,0.4944,0.6504,0.7758,1,0,0.3595,1,0,1,0,0,0,1,0,0,0,1,0.6207,0.4123,0.485,0.4737,0.5238,0.6698,0.625,0.8913,0.6983,0.5725
39,1.66,6.14,5,20,7.99,4.5,8.94,5.72,57.8,0.2952,0.6886,0.7479,0,0,0.2704,1,0,1,0,0,0,0,1,0,0,1,0.8276,0.196,0.2957,0.2105,0.2381,0.6474,0.5,0.8171,0.5258,0.7221
17,3.55,8.51,8,40,6.03,3.5,6.2,3.74,31.3,0.489,0.5084,0.4759,1,0,0.4172,3,1,0,0,0,0,0,1,0,1,0,0.069,0.4685,0.465,0.3684,0.4762,0.2817,0.3864,0.3443,0.2869,0.3218
34,4.27,7.57,14,48,5.68,2.8,6.99,4.83,12.8,0.5652,0.4399,0.4702,0,1,0.5641,3,0,1,0,0,0,0,1,0,0,1,0.6552,0.5723,0.3979,0.6842,0.5714,0.2164,0.3068,0.4806,0.4184,0.0423
26,2.67,5.46,5,22,8.65,4.8,8.44,5.69,42.6,0.3341,0.7166,0.6695,0,0,0.489,2,1,0,0,0,0,0,1,0,0,1,0.3793,0.3416,0.2471,0.2105,0.2619,0.7705,0.5341,0.7308,0.5222,0.4924
26,1.31,2.94,4,16,8.14,5.0,8.08,6.91,53.6,0.1859,0.7278,0.7444,0,0,0.4456,1,0,1,0,0,1,0,0,1,0,0,0.3793,0.1456,0.0671,0.1579,0.1905,0.6754,0.5568,0.6687,0.6693,0.6586
32,0.74,4.0,4,13,7.63,7.3,9.42,6.18,50.4,0.1809,0.8109,0.7522,0,0,0.185,1,0,1,0,0,0,0,1,1,0,0,0.5862,0.0634,0.1429,0.1579,0.1548,0.5802,0.8182,0.8999,0.5813,0.6103
18,5.62,12.0,13,62,6.4,3.4,7.54,4.68,43.8,0.7406,0.439,0.6061,1,0,0.4683,3,0,1,0,0,0,0,1,1,0,0,0.1034,0.7668,0.7143,0.6316,0.7381,0.3507,0.375,0.5755,0.4003,0.5106
21,4.07,8.19,10,42,7.18,4.5,7.09,6.59,45.6,0.5297,0.5813,0.6667,1,0,0.4969,3,0,1,0,0,1,0,0,1,0,0,0.2069,0.5434,0.4421,0.4737,0.5,0.4963,0.5,0.4978,0.6307,0.5378
20,4.82,9.91,12,42,6.12,5.3,7.22,6.04,32.1,0.6341,0.5752,0.5981,1,0,0.4864,2,1,0,0,0,0,0,1,0,0,1,0.1724,0.6515,0.565,0.5789,0.5,0.2985,0.5909,0.5203,0.5644,0.3338
30,2.83,7.95,4,19,7.72,5.4,7.27,6.45,35.3,0.3952,0.718,0.6273,0,0,0.356,1,1,0,0,0,0,0,1,0,1,0,0.5172,0.3647,0.425,0.1579,0.2262,0.597,0.6023,0.5289,0.6138,0.3822
21,6.68,13.41,19,56,6.04,4.9,5.86,3.01,15.8,0.8944,0.5067,0.3765,1,0,0.4981,3,0,1,0,0,0,0,1,0,1,0,0.2069,0.9196,0.815,0.9474,0.6667,0.2836,0.5455,0.2856,0.1989,0.0876
27,3.7,11.18,7,25,6.28,4.5,6.44,5.94,39.6,0.554,0.6102,0.5967,1,0,0.3309,3,0,1,0,0,0,0,1,0,0,1,0.4138,0.4901,0.6557,0.3158,0.2976,0.3284,0.5,0.3857,0.5523,0.4471
21,4.35,9.32,13,56,6.79,4.3,7.66,4.56,29.9,0.6034,0.5096,0.5512,1,0,0.4667,3,1,0,0,0,0,1,0,0,1,0,0.2069,0.5838,0.5229,0.6316,0.6667,0.4235,0.4773,0.5962,0.3859,0.3006
22,3.54,9.7,10,35,6.74,2.0,7.04,5.42,45.8,0.5381,0.4924,0.6233,1,0,0.3649,2,1,0,0,0,0,0,1,0,0,1,0.2414,0.467,0.55,0.4737,0.4167,0.4142,0.2159,0.4892,0.4896,0.5408
34,3.14,11.89,11,31,7.89,4.5,8.59,5.2,45.7,0.5808,0.6458,0.6691,1,0,0.2641,1,1,0,0,0,0,0,1,1,0,0,0.6552,0.4094,0.7064,0.5263,0.369,0.6287,0.5,0.7567,0.4631,0.5393
32,2.67,4.98,6,34,7.21,4.1,8.02,6.0,36.1,0.3321,0.5952,0.6404,0,0,0.5361,1,1,0,0,0,0,0,1,0,0,1,0.5862,0.3416,0.2129,0.2632,0.4048,0.5019,0.4545,0.6583,0.5596,0.3943
39,4.08,10.07,11,47,8.41,3.1,8.45,5.17,32.0,0.5872,0.552,0.6092,1,0,0.4052,2,0,1,0,0,0,0,1,1,0,0,0.8276,0.5449,0.5764,0.5263,0.5595,0.7257,0.3409,0.7325,0.4594,0.3323
44,1.68,5.93,5,17,6.45,7.5,8.6,7.44,58.8,0.2911,0.7627,0.8023,0,0,0.2833,2,1,0,0,0,0,0,1,0,0,1,1.0,0.1989,0.2807,0.2105,0.2024,0.3601,0.8409,0.7584,0.7333,0.7372
35,3.83,11.24,9,34,7.36,2.7,8.53,5.56,35.6,0.5827,0.5455,0.6403,1,0,0.3407,2,0,1,0,0,1,0,0,0,1,0,0.6897,0.5088,0.66,0.4211,0.4048,0.5299,0.2955,0.7463,0.5065,0.3867
35,1.78,5.5,2,32,7.34,3.9,9.62,8.47,63.3,0.2559,0.5991,0.8931,0,0,0.3236,1,0,1,0,0,0,0,1,1,0,0,0.6897,0.2133,0.25,0.0526,0.381,0.5261,0.4318,0.9344,0.8575,0.8051
39,1.49,4.41,8,40,7.51,8.0,9.06,7.02,44.0,0.2726,0.7378,0.7449,0,0,0.3379,1,1,0,0,0,0,0,1,0,1,0,0.8276,0.1715,0.1721,0.3684,0.4762,0.5578,0.8977,0.8378,0.6826,0.5136
31,0.85,2.06,4,22,9.63,8.8,9.84,8.1,69.7,0.1385,0.9086,0.9126,0,0,0.4126,1,1,0,0,0,0,0,1,0,0,1,0.5517,0.0793,0.0043,0.1579,0.2619,0.9534,0.9886,0.9724,0.8129,0.9018
30,2.35,6.39,8,26,6.61,6.7,7.2,5.02,45.1,0.3696,0.7048,0.6116,0,0,0.3678,2,0,1,0,0,1,0,0,1,0,0,0.5172,0.2955,0.3136,0.3684,0.3095,0.3899,0.75,0.5168,0.4413,0.5302
36,3.31,12.5,8,28,7.61,4.6,7.7,5.33,46.6,0.5754,0.6505,0.6463,1,0,0.2648,1,0,1,0,0,0,1,0,1,0,0,0.7241,0.4339,0.75,0.3684,0.3333,0.5765,0.5114,0.6031,0.4787,0.5529
38,1.73,6.21,7,24,7.71,3.5,9.78,8.24,59.9,0.3209,0.6251,0.8769,0,0,0.2786,1,1,0,0,0,0,0,1,0,0,1,0.7931,0.2061,0.3007,0.3158,0.2857,0.5951,0.3864,0.962,0.8298,0.7538
32,2.98,8.02,11,42,7.93,4.3,9.19,6.56,34.6,0.4752,0.6,0.6958,1,0,0.3716,2,1,0,0,0,0,0,1,1,0,0,0.5862,0.3863,0.43,0.5263,0.5,0.6362,0.4773,0.8602,0.6271,0.3716
20,3.21,7.16,4,15,6.77,6.3,7.96,6.0,51.5,0.3964,0.734,0.6989,0,0,0.4483,3,1,0,0,0,0,0,1,1,0,0,0.1724,0.4195,0.3686,0.1579,0.1786,0.4198,0.7045,0.648,0.5596,0.6269
40,1.63,4.2,2,10,7.34,8.2,10.0,8.09,53.3,0.2151,0.8468,0.8532,0,0,0.3881,1,0,0,0,1,0,0,1,0,1,0,0.8621,0.1917,0.1571,0.0526,0.119,0.5261,0.9205,1.0,0.8117,0.6541
25,3.27,6.5,7,14,7.96,6.2,7.85,5.7,38.6,0.4132,0.7758,0.6334,0,0,0.5031,2,1,0,0,0,0,1,0,0,1,0,0.3448,0.4281,0.3214,0.3158,0.1667,0.6418,0.6932,0.629,0.5234,0.432
30,3.54,9.99,6,24,8.33,5.1,8.55,6.57,45.4,0.5054,0.7099,0.7162,1,0,0.3544,1,1,0,0,0,0,1,0,1,0,0,0.5172,0.467,0.5707,0.2632,0.2857,0.7108,0.5682,0.7498,0.6283,0.5347
16,5.21,11.15,11,47,5.97,5.4,4.205,1.3612499999999987,10.0,0.6767,0.556,0.2359,1,1,0.4673,3,1,0,0,0,0,0,1,0,1,0,0.0345,0.7077,0.6536,0.5263,0.5595,0.2705,0.6023,0.0,0.0,0.0
40,1.11,4.35,2,0,7.99,7.8,7.63,5.02,54.3,0.1901,0.8898,0.6629,0,0,0.2552,2,0,0,0,1,0,0,1,0,0,1,0.8621,0.1168,0.1679,0.0526,0.0,0.6474,0.875,0.591,0.4413,0.6692
25,2.23,7.32,6,18,7.43,4.4,7.54,5.76,42.3,0.3662,0.672,0.6393,0,0,0.3046,1,0,1,0,0,0,1,0,0,0,1,0.3448,0.2782,0.38,0.2632,0.2143,0.5429,0.4886,0.5755,0.5306,0.4879
26,2.5,9.02,6,34,8.86,6.5,7.19,5.86,47.0,0.4237,0.7481,0.6492,1,0,0.2772,1,0,1,0,0,0,0,1,0,1,0,0.3793,0.3171,0.5014,0.2632,0.4048,0.8097,0.7273,0.5151,0.5427,0.5589
42,1.78,3.91,6,18,8.45,5.4,9.59,8.65,62.6,0.2561,0.7474,0.8958,0,0,0.4552,1,1,0,0,0,0,0,1,1,0,0,0.931,0.2133,0.1364,0.2632,0.2143,0.7332,0.6023,0.9292,0.8792,0.7946
15,6.01,14.29,14,57,5.84,2.6,4.59,3.22,31.8,0.8294,0.4056,0.4026,1,1,0.4206,3,1,0,0,0,0,0,1,0,1,0,0.0,0.8231,0.8779,0.6842,0.6786,0.2463,0.2841,0.0664,0.2242,0.3293
19,5.35,10.3,11,53,6.84,1.6,6.04,4.05,24.2,0.6632,0.4159,0.4535,1,0,0.5194,3,1,0,0,0,0,1,0,0,1,0,0.1379,0.7279,0.5929,0.5263,0.631,0.4328,0.1705,0.3167,0.3243,0.2145
22,5.82,12.2,15,66,6.32,3.9,5.99,4.51,27.1,0.7767,0.4415,0.4799,1,0,0.477,2,1,0,0,0,0,0,1,1,0,0,0.2414,0.7957,0.7286,0.7368,0.7857,0.3358,0.4318,0.308,0.3798,0.2583
17,6.17,12.45,13,48,6.36,4.1,7.84,4.84,38.0,0.7823,0.5151,0.5995,1,0,0.4956,3,1,0,0,0,0,1,0,0,1,0,0.069,0.8461,0.7464,0.6316,0.5714,0.3433,0.4545,0.6273,0.4196,0.423
22,4.37,9.95,9,30,5.71,4.4,5.56,3.79,28.8,0.5803,0.5682,0.4454,1,1,0.4392,3,0,1,0,0,0,0,1,1,0,0,0.2414,0.5867,0.5679,0.4211,0.3571,0.222,0.4886,0.2338,0.293,0.284
22,3.33,12.07,7,26,7.84,4.5,7.07,4.66,40.4,0.5558,0.6618,0.5755,1,0,0.2759,2,1,0,0,0,1,0,0,0,1,0,0.2414,0.4368,0.7193,0.3158,0.3095,0.6194,0.5,0.4944,0.3979,0.4592
15,5.35,12.71,15,67,6.34,4.8,7.16,6.68,29.2,0.7634,0.4741,0.6078,1,0,0.4209,3,1,0,0,0,1,0,0,0,1,0,0.0,0.7279,0.765,0.7368,0.7976,0.3396,0.5341,0.5099,0.6416,0.29
21,3.88,8.08,11,48,6.79,4.2,7.33,6.6,33.5,0.5264,0.5343,0.6278,1,0,0.4802,2,0,1,0,0,1,0,0,0,1,0,0.2069,0.516,0.4343,0.5263,0.5714,0.4235,0.4659,0.5393,0.6319,0.355
24,4.15,9.4,11,47,6.89,4.5,7.29,4.82,26.9,0.5744,0.5532,0.5359,1,0,0.4415,3,0,1,0,0,0,1,0,0,0,1,0.3103,0.555,0.5286,0.5263,0.5595,0.4422,0.5,0.5324,0.4172,0.2553
34,1.71,4.09,1,15,7.57,4.5,8.52,5.3,38.5,0.2068,0.6916,0.642,0,0,0.4181,2,0,1,0,0,0,1,0,1,0,0,0.6552,0.2032,0.1493,0.0,0.1786,0.569,0.5,0.7446,0.4751,0.4305
43,2.98,7.71,3,12,7.09,5.3,9.13,5.03,44.7,0.3874,0.7167,0.6779,0,0,0.3865,3,0,1,0,0,0,0,1,0,0,1,0.9655,0.3863,0.4079,0.1053,0.1429,0.4795,0.5909,0.8499,0.4426,0.5242
15,3.88,9.64,7,32,7.53,4.5,8.02,4.98,39.1,0.5254,0.6294,0.6152,1,0,0.4025,3,0,0,0,1,0,0,1,0,0,1,0.0,0.516,0.5457,0.3158,0.381,0.5616,0.5,0.6583,0.4365,0.4396
27,2.86,7.45,7,54,6.45,4.7,6.53,3.87,23.9,0.4143,0.5205,0.463,0,0,0.3839,2,1,0,0,0,1,0,0,1,0,0,0.4138,0.369,0.3893,0.3158,0.6429,0.3601,0.5227,0.4012,0.3026,0.21
26,2.01,5.52,4,27,7.12,8.0,8.76,5.96,41.6,0.2891,0.7704,0.6865,0,0,0.3641,2,1,0,0,0,0,1,0,0,1,0,0.3793,0.2465,0.2514,0.1579,0.3214,0.4851,0.8977,0.786,0.5547,0.4773
24,5.24,12.85,10,28,5.94,2.9,5.54,4.28,21.1,0.7109,0.5245,0.4322,1,1,0.4078,3,1,0,0,0,0,0,1,1,0,0,0.3103,0.7121,0.775,0.4737,0.3333,0.2649,0.3182,0.2304,0.3521,0.1677
33,1.38,6.96,5,9,9.5,4.5,10.0,7.08,62.7,0.3003,0.7814,0.8536,0,0,0.1983,1,1,0,0,0,0,1,0,1,0,0,0.6207,0.1557,0.3543,0.2105,0.1071,0.9291,0.5,1.0,0.6898,0.7961
31,3.62,5.37,8,23,8.4,5.0,7.15,5.91,44.0,0.4143,0.7121,0.6378,0,0,0.6741,2,1,0,0,0,0,0,1,0,0,1,0.5517,0.4786,0.2407,0.3684,0.2738,0.7239,0.5568,0.5082,0.5487,0.5136
32,1.6,4.56,2,9,8.69,2.5,8.43,6.43,50.7,0.2224,0.674,0.7278,0,0,0.3509,1,0,0,1,0,0,1,0,0,0,1,0.5862,0.1874,0.1829,0.0526,0.1071,0.778,0.2727,0.7291,0.6114,0.6148
19,3.23,9.9,4,22,6.46,2.2,6.42,5.15,25.4,0.466,0.5368,0.5115,1,0,0.3263,2,1,0,0,0,0,0,1,1,0,0,0.1379,0.4223,0.5643,0.1579,0.2619,0.3619,0.2386,0.3822,0.457,0.2326
29,2.38,7.43,3,8,7.67,4.1,9.23,5.63,40.2,0.3473,0.7044,0.6855,0,0,0.3203,1,1,0,0,0,0,1,0,1,0,0,0.4828,0.2998,0.3879,0.1053,0.0952,0.5877,0.4545,0.8671,0.5149,0.4562
29,3.26,8.56,9,35,6.62,4.0,7.78,5.24,40.4,0.4842,0.5668,0.6214,1,0,0.3808,2,1,0,0,0,0,1,0,0,1,0,0.4828,0.4267,0.4686,0.4211,0.4167,0.3918,0.4432,0.6169,0.4679,0.4592
23,4.9,10.87,12,30,7.34,3.2,7.69,6.08,48.6,0.6626,0.5787,0.681,1,0,0.4508,1,1,0,0,0,1,0,0,0,1,0,0.2759,0.6631,0.6336,0.5789,0.3571,0.5261,0.3523,0.6014,0.5692,0.5831
20,4.09,10.83,8,27,7.27,3.7,6.94,3.9,30.3,0.5768,0.6066,0.5036,1,0,0.3777,3,0,0,1,0,1,0,0,0,1,0,0.1724,0.5463,0.6307,0.3684,0.3214,0.5131,0.4091,0.472,0.3062,0.3066
37,0.66,2.69,1,20,7.48,7.1,10.0,7.09,43.6,0.1137,0.7728,0.7788,0,0,0.2454,1,1,0,0,0,0,1,0,0,0,1,0.7586,0.0519,0.0493,0.0,0.2381,0.5522,0.7955,1.0,0.691,0.5076
19,3.51,9.98,9,28,7.53,4.9,9.35,6.53,37.2,0.5335,0.6594,0.7105,1,0,0.3517,2,0,1,0,0,0,0,1,1,0,0,0.1379,0.4627,0.57,0.4211,0.3333,0.5616,0.5455,0.8878,0.6235,0.4109
25,2.11,3.91,3,18,7.07,4.0,8.09,5.96,37.6,0.2444,0.6435,0.6473,0,0,0.5396,1,1,0,0,0,0,0,1,0,0,1,0.3448,0.2609,0.1364,0.1053,0.2143,0.4757,0.4432,0.6704,0.5547,0.4169
23,4.52,11.71,12,45,7.61,1.5,7.95,4.86,33.5,0.6626,0.4679,0.5864,1,0,0.386,3,0,0,0,1,1,0,0,0,0,1,0.2759,0.6083,0.6936,0.5789,0.5357,0.5765,0.1591,0.6462,0.422,0.355
22,4.02,10.53,11,44,7.43,2.2,7.23,5.92,46.2,0.5954,0.4926,0.6496,1,0,0.3818,2,0,0,1,0,0,0,1,0,0,1,0.2414,0.5362,0.6093,0.5263,0.5238,0.5429,0.2386,0.522,0.5499,0.5468
35,2.14,8.02,8,26,7.08,4.7,8.43,4.73,46.4,0.3988,0.6428,0.6493,1,0,0.2668,2,0,1,0,0,0,1,0,0,0,1,0.6897,0.2652,0.43,0.3684,0.3095,0.4776,0.5227,0.7291,0.4064,0.5498
20,6.25,11.73,16,62,6.19,4.7,7.2,3.99,14.5,0.7987,0.4827,0.4538,1,0,0.5328,3,0,1,0,0,0,0,1,0,1,0,0.1724,0.8577,0.695,0.7895,0.7381,0.3116,0.5227,0.5168,0.3171,0.068
32,1.46,3.81,2,4,8.85,4.0,8.37,6.9,50.1,0.1959,0.7565,0.7404,0,0,0.3832,1,0,1,0,0,0,1,0,1,0,0,0.5862,0.1672,0.1293,0.0526,0.0476,0.8078,0.4432,0.7187,0.6681,0.6057
