user_id,age,reels_watch_time_hours,daily_screen_time_hours,scrolling_sessions_day,notifications_per_day,sleep_hours,physical_activity_hours_week,stress_level,attention_span_score,focus_level,task_completion_rate,age_group,screen_time_severity,wellness_score,productivity_index,high_screen_time_flag,poor_sleep_flag,reels_to_screen_ratio,stress_level_encoded,gender_Female,gender_Male,gender_Non-Binary,gender_Other,location_Rural,location_Suburban,location_Urban,platform_Instagram Reels,platform_TikTok,platform_YouTube Shorts,age_norm,reels_watch_time_hours_norm,daily_screen_time_hours_norm,scrolling_sessions_day_norm,notifications_per_day_norm,sleep_hours_norm,physical_activity_hours_week_norm,attention_span_score_norm,focus_level_norm,task_completion_rate_norm
72,26,2.5,9.02,6,34,8.86,6.5,Low,7.19,5.86,47.0,26-35,0.4237,0.7481,0.6492,1,0,0.2772,1,0,1,0,0,0,0,1,0,1,0,0.3793,0.3171,0.5014,0.2632,0.4048,0.8097,0.7273,0.5151,0.5427,0.5589
73,42,1.78,3.91,6,18,8.45,5.4,Low,9.59,8.65,62.6,36-45,0.2561,0.7474,0.8958,0,0,0.4552,1,1,0,0,0,0,0,1,1,0,0,0.931,0.2133,0.1364,0.2632,0.2143,0.7332,0.6023,0.9292,0.8792,0.7946
74,15,6.01,14.29,14,57,5.84,2.6,High,4.59,3.22,31.8,<18,0.8294,0.4056,0.4026,1,1,0.4206,3,1,0,0,0,0,0,1,0,1,0,0.0,0.8231,0.8779,0.6842,0.6786,0.2463,0.2841,0.0664,0.2242,0.3293
75,19,5.35,10.3,11,53,6.84,1.6,High,6.04,4.05,24.2,18-25,0.6632,0.4159,0.4535,1,0,0.5194,3,1,0,0,0,0,1,0,0,1,0,0.1379,0.7279,0.5929,0.5263,0.631,0.4328,0.1705,0.3167,0.3243,0.2145
76,22,5.82,12.2,15,66,6.32,3.9,Medium,5.99,4.51,27.1,18-25,0.7767,0.4415,0.4799,1,0,0.477,2,1,0,0,0,0,0,1,1,0,0,0.2414,0.7957,0.7286,0.7368,0.7857,0.3358,0.4318,0.308,0.3798,0.2583
77,17,6.17,12.45,13,48,6.36,4.1,High,7.84,4.84,38.0,<18,0.7823,0.5151,0.5995,1,0,0.4956,3,1,0,0,0,0,1,0,0,1,0,0.069,0.8461,0.7464,0.6316,0.5714,0.3433,0.4545,0.6273,0.4196,0.423
78,22,4.37,9.95,9,30,5.71,4.4,High,5.56,3.79,28.8,18-25,0.5803,0.5682,0.4454,1,1,0.4392,3,0,1,0,0,0,0,1,1,0,0,0.2414,0.5867,0.5679,0.4211,0.3571,0.222,0.4886,0.2338,0.293,0.284
79,22,3.33,12.07,7,26,7.84,4.5,Medium,7.07,4.66,40.4,18-25,0.5558,0.6618,0.5755,1,0,0.2759,2,1,0,0,0,1,0,0,0,1,0,0.2414,0.4368,0.7193,0.3158,0.3095,0.6194,0.5,0.4944,0.3979,0.4592
80,15,5.35,12.71,15,67,6.34,4.8,High,7.16,6.68,29.2,<18,0.7634,0.4741,0.6078,1,0,0.4209,3,1,0,0,0,1,0,0,0,1,0,0.0,0.7279,0.765,0.7368,0.7976,0.3396,0.5341,0.5099,0.6416,0.29
81,21,3.88,8.08,11,48,6.79,4.2,Medium,7.33,6.6,33.5,18-25,0.5264,0.5343,0.6278,1,0,0.4802,2,0,1,0,0,1,0,0,0,1,0,0.2069,0.516,0.4343,0.5263,0.5714,0.4235,0.4659,0.5393,0.6319,0.355
82,24,4.15,9.4,11,47,6.89,4.5,High,7.29,4.82,26.9,18-25,0.5744,0.5532,0.5359,1,0,0.4415,3,0,1,0,0,0,1,0,0,0,1,0.3103,0.555,0.5286,0.5263,0.5595,0.4422,0.5,0.5324,0.4172,0.2553
83,34,1.71,4.09,1,15,7.57,4.5,Medium,8.52,5.3,38.5,26-35,0.2068,0.6916,0.642,0,0,0.4181,2,0,1,0,0,0,1,0,1,0,0,0.6552,0.2032,0.1493,0.0,0.1786,0.569,0.5,0.7446,0.4751,0.4305
84,43,2.98,7.71,3,12,7.09,5.3,High,9.13,5.03,44.7,36-45,0.3874,0.7167,0.6779,0,0,0.3865,3,0,1,0,0,0,0,1,0,0,1,0.9655,0.3863,0.4079,0.1053,0.1429,0.4795,0.5909,0.8499,0.4426,0.5242
85,15,3.88,9.64,7,32,7.53,4.5,High,8.02,4.98,39.1,<18,0.5254,0.6294,0.6152,1,0,0.4025,3,0,0,0,1,0,0,1,0,0,1,0.0,0.516,0.5457,0.3158,0.381,0.5616,0.5,0.6583,0.4365,0.4396
86,27,2.86,7.45,7,54,6.45,4.7,Medium,6.53,3.87,23.9,26-35,0.4143,0.5205,0.463,0,0,0.3839,2,1,0,0,0,1,0,0,1,0,0,0.4138,0.369,0.3893,0.3158,0.6429,0.3601,0.5227,0.4012,0.3026,0.21
87,26,2.01,5.52,4,27,7.12,8.0,Medium,8.76,5.96,41.6,26-35,0.2891,0.7704,0.6865,0,0,0.3641,2,1,0,0,0,0,1,0,0,1,0,0.3793,0.2465,0.2514,0.1579,0.3214,0.4851,0.8977,0.786,0.5547,0.4773
88,24,5.24,12.85,10,28,5.94,2.9,High,5.54,4.28,21.1,18-25,0.7109,0.5245,0.4322,1,1,0.4078,3,1,0,0,0,0,0,1,1,0,0,0.3103,0.7121,0.775,0.4737,0.3333,0.2649,0.3182,0.2304,0.3521,0.1677
89,33,1.38,6.96,5,9,9.5,4.5,Low,10.0,7.08,62.7,26-35,0.3003,0.7814,0.8536,0,0,0.1983,1,1,0,0,0,0,1,0,1,0,0,0.6207,0.1557,0.3543,0.2105,0.1071,0.9291,0.5,1.0,0.6898,0.7961
90,31,3.62,5.37,8,23,8.4,5.0,Medium,7.15,5.91,44.0,26-35,0.4143,0.7121,0.6378,0,0,0.6741,2,1,0,0,0,0,0,1,0,0,1,0.5517,0.4786,0.2407,0.3684,0.2738,0.7239,0.5568,0.5082,0.5487,0.5136
91,32,1.6,4.56,2,9,8.69,2.5,Low,8.43,6.43,50.7,26-35,0.2224,0.674,0.7278,0,0,0.3509,1,0,0,1,0,0,1,0,0,0,1,0.5862,0.1874,0.1829,0.0526,0.1071,0.778,0.2727,0.7291,0.6114,0.6148
92,19,3.23,9.9,4,22,6.46,2.2,Medium,6.42,5.15,25.4,18-25,0.466,0.5368,0.5115,1,0,0.3263,2,1,0,0,0,0,0,1,1,0,0,0.1379,0.4223,0.5643,0.1579,0.2619,0.3619,0.2386,0.3822,0.457,0.2326
93,29,2.38,7.43,3,8,7.67,4.1,Low,9.23,5.63,40.2,26-35,0.3473,0.7044,0.6855,0,0,0.3203,1,1,0,0,0,0,1,0,1,0,0,0.4828,0.2998,0.3879,0.1053,0.0952,0.5877,0.4545,0.8671,0.5149,0.4562
94,29,3.26,8.56,9,35,6.62,4.0,Medium,7.78,5.24,40.4,26-35,0.4842,0.5668,0.6214,1,0,0.3808,2,1,0,0,0,0,1,0,0,1,0,0.4828,0.4267,0.4686,0.4211,0.4167,0.3918,0.4432,0.6169,0.4679,0.4592
95,23,4.9,10.87,12,30,7.34,3.2,Low,7.69,6.08,48.6,18-25,0.6626,0.5787,0.681,1,0,0.4508,1,1,0,0,0,1,0,0,0,1,0,0.2759,0.6631,0.6336,0.5789,0.3571,0.5261,0.3523,0.6014,0.5692,0.5831
96,20,4.09,10.83,8,27,7.27,3.7,High,6.94,3.9,30.3,18-25,0.5768,0.6066,0.5036,1,0,0.3777,3,0,0,1,0,1,0,0,0,1,0,0.1724,0.5463,0.6307,0.3684,0.3214,0.5131,0.4091,0.472,0.3062,0.3066
97,37,0.66,2.69,1,20,7.48,7.1,Low,10.0,7.09,43.6,36-45,0.1137,0.7728,0.7788,0,0,0.2454,1,1,0,0,0,0,1,0,0,0,1,0.7586,0.0519,0.0493,0.0,0.2381,0.5522,0.7955,1.0,0.691,0.5076
